I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-58,-43,14,51,-36,-14,14,-58,-112,-122,-107,-97
-58,-39,19,48,-39,-9,14,-58,-112,-122,-107,-97
-63,-39,24,51,-43,-7,14,-53,-107,-122,-112,-102
-63,-34,29,48,-46,-2,14,-53,-107,-122,-112,-102
-53,-34,19,43,-36,-7,4,-68,-117,-131,-126,-112
-43,-34,9,39,-26,-12,4,-68,-117,-141,-126,-112
-39,-39,0,39,-19,-19,4,-63,-117,-141,-126,-117
-34,-43,-9,39,-12,-26,4,-58,-117,-141,-126,-117
-43,-53,-9,48,-17,-31,19,-48,-107,-126,-122,-102
-48,-53,-4,51,-21,-29,24,-43,-97,-122,-122,-102
-48,-48,0,48,-24,-24,29,-43,-97,-122,-122,-102
-48,-48,0,48,-24,-24,34,-43,-102,-126,-122,-107
-48,-39,9,43,-29,-14,19,-48,-102,-126,-126,-117
-48,-39,9,43,-29,-14,19,-48,-102,-126,-126,-117
-48,-39,9,43,-29,-14,29,-43,-97,-122,-122,-112
-43,-39,4,41,-24,-17,29,-43,-97,-122,-122,-112
-34,-29,4,31,-19,-12,19,-43,-97,-122,-122,-117
-34,-29,4,31,-19,-12,19,-39,-97,-122,-122,-117
-34,-29,4,31,-19,-12,19,-39,-92,-122,-117,-112
-34,-29,4,31,-19,-12,24,-39,-92,-122,-117,-112
-39,-39,0,39,-19,-19,24,-48,-97,-122,-117,-112
-43,-39,4,41,-24,-17,19,-48,-97,-122,-117,-112
-48,-39,9,43,-29,-14,19,-43,-97,-122,-117,-112
-58,-39,19,48,-39,-9,24,-43,-97,-122,-117,-112
-58,-29,29,43,-43,0,29,-39,-87,-117,-107,-112
-58,-39,19,48,-39,-9,34,-39,-82,-117,-107,-112
-58,-39,19,48,-39,-9,39,-34,-82,-112,-107,-112
-53,-34,19,43,-36,-7,43,-34,-82,-112,-107,-112
-53,-29,24,41,-39,-2,48,-19,-73,-102,-97,-107
-53,-29,24,41,-39,-2,48,-19,-73,-102,-97,-102
-58,-34,24,46,-41,-4,48,-19,-73,-102,-97,-97
-58,-34,24,46,-41,-4,48,-19,-73,-97,-97,-92
-68,-34,34,51,-51,0,39,-24,-73,-107,-107,-102
-68,-39,29,53,-48,-4,43,-24,-73,-107,-107,-102
-68,-43,24,56,-46,-9,43,-24,-73,-107,-102,-102
-68,-39,29,53,-48,-4,43,-24,-68,-107,-102,-102
-58,-34,24,46,-41,-4,43,-14,-68,-107,-97,-102
-58,-34,24,46,-41,-4,43,-4,-63,-97,-92,-97
-53,-43,9,48,-31,-17,48,-4,-63,-92,-92,-97
-53,-43,9,48,-31,-17,48,-4,-63,-92,-92,-97
-39,-34,4,36,-21,-14,53,0,-58,-97,-92,-97
-39,-39,0,39,-19,-19,53,0,-58,-97,-92,-97
-39,-39,0,39,-19,-19,58,0,-53,-92,-87,-92
-39,-29,9,34,-24,-9,58,0,-53,-87,-87,-92
-48,-29,19,39,-34,-4,48,0,-48,-87,-87,-97
-48,-29,19,39,-34,-4,48,0,-48,-87,-92,-97
-43,-29,14,36,-29,-7,48,0,-48,-87,-92,-97
-43,-29,14,36,-29,-7,48,4,-43,-87,-87,-97
-34,-24,9,29,-21,-7,53,0,-53,-87,-87,-97
-34,-24,9,29,-21,-7,53,4,-48,-87,-87,-97
-34,-24,9,29,-21,-7,53,4,-48,-82,-92,-92
-34,-24,9,29,-21,-7,53,4,-48,-78,-92,-92
-34,-34,0,34,-17,-17,43,-4,-48,-78,-92,-92
-34,-29,4,31,-19,-12,43,0,-48,-78,-82,-92
-34,-29,4,31,-19,-12,48,9,-39,-68,-78,-92
-34,-24,9,29,-21,-7,48,9,-34,-68,-78,-87
-43,-24,19,34,-31,-2,48,9,-34,-78,-82,-97
-48,-29,19,39,-34,-4,53,9,-29,-73,-82,-92
-48,-29,19,39,-34,-4,58,19,-24,-63,-78,-87
-48,-29,19,39,-34,-4,58,24,-19,-58,-68,-87
-53,-29,24,41,-39,-2,68,39,-9,-58,-68,-82
-53,-29,24,41,-39,-2,68,39,-4,-53,-68,-82
-53,-29,24,41,-39,-2,73,43,0,-53,-68,-82
-48,-29,19,39,-34,-4,73,48,4,-48,-63,-82
-39,-29,9,34,-24,-9,58,48,0,-39,-63,-82
-39,-14,24,26,-31,4,58,48,0,-39,-63,-82
-39,-9,29,24,-34,9,58,53,4,-34,-58,-82
-39,-9,29,24,-34,9,63,58,9,-29,-58,-73
-43,-9,34,26,-39,12,63,63,24,-34,-48,-63
-43,-9,34,26,-39,12,68,68,29,-29,-48,-58
-39,-9,29,24,-34,9,73,73,34,-24,-48,-58
-39,-4,34,21,-36,14,73,78,39,-19,-43,-58
-39,-4,34,21,-36,14,73,92,43,-14,-34,-63
-29,0,29,14,-29,14,73,97,48,-9,-29,-63
-29,0,29,14,-29,14,73,102,53,-4,-29,-63
-29,0,29,14,-29,14,73,102,58,0,-29,-63
-14,4,19,4,-17,12,68,102,53,4,-24,-63
-9,4,14,2,-12,9,68,102,63,4,-14,-63
-4,9,14,-2,-9,12,68,107,73,9,-24,-63
0,9,9,-4,-4,9,68,117,78,14,-24,-58
-9,4,14,2,-12,9,73,126,87,19,-19,-58
-9,9,19,0,-14,14,78,131,97,24,-14,-58
-4,4,9,0,-7,7,78,136,97,29,-14,-53
0,9,9,-4,-4,9,78,141,102,34,-14,-53
